id,prodIdx,tau,offerIdx
0,0,0,3
1,0,1,3
2,0,2,3
3,1,0,1
4,1,1,1
5,1,2,1
6,2,0,1
7,2,1,1
8,2,2,1
9,2,3,1
10,2,4,1
11,2,5,1
12,3,0,1
13,3,1,1
14,3,2,1
15,3,3,1
16,3,4,1
17,3,5,1
18,4,0,1
19,4,1,1
20,4,2,1
21,5,0,1
22,5,1,1
23,5,2,1
24,6,0,1
25,6,1,1
26,6,2,1
27,6,3,1
28,6,4,1
29,6,5,1
30,7,0,1
31,7,1,1
32,7,2,1
33,7,3,1
34,7,4,1
35,7,5,1
36,8,0,3
37,8,1,3
38,8,2,3
39,9,0,1
40,9,1,1
41,9,2,1
42,10,0,1
43,10,1,1
44,10,2,1
45,10,3,1
46,10,4,1
47,10,5,1
48,11,0,1
49,11,1,1
50,11,2,1
51,11,3,1
52,11,4,1
53,11,5,1
54,12,0,3
55,12,1,3
56,12,2,3
57,13,0,1
58,13,1,1
59,13,2,1
60,14,0,1
61,14,1,1
62,14,2,1
63,14,3,1
64,14,4,1
65,14,5,1
66,15,0,1
67,15,1,1
68,15,2,1
69,15,3,1
70,15,4,1
71,15,5,1
72,16,0,1
73,16,1,1
74,16,2,1
75,17,0,1
76,17,1,1
77,17,2,1
78,18,0,0
79,18,1,0
80,18,2,0
81,18,3,0
82,18,4,0
83,18,5,0
84,19,0,1
85,19,1,1
86,19,2,1
87,19,3,1
88,19,4,1
89,19,5,1
90,20,0,3
91,20,1,3
92,20,2,3
93,21,0,1
94,21,1,1
95,21,2,1
96,22,0,0
97,22,1,0
98,22,2,0
99,22,3,1
100,22,4,1
101,22,5,1
102,23,0,1
103,23,1,1
104,23,2,1
105,23,3,1
106,23,4,1
107,23,5,1
108,24,0,3
109,24,1,3
110,24,2,3
111,25,0,1
112,25,1,1
113,25,2,1
114,26,0,1
115,26,1,1
116,26,2,1
117,26,3,1
118,26,4,1
119,26,5,1
120,27,0,1
121,27,1,1
122,27,2,1
123,27,3,1
124,27,4,1
125,27,5,1
126,28,0,1
127,28,1,1
128,28,2,1
129,29,0,1
130,29,1,1
131,29,2,1
132,30,0,1
133,30,1,1
134,30,2,1
135,30,3,1
136,30,4,1
137,30,5,1
138,31,0,1
139,31,1,1
140,31,2,1
141,31,3,1
142,31,4,1
143,31,5,1
144,32,0,3
145,32,1,3
146,32,2,3
147,33,0,1
148,33,1,1
149,33,2,1
150,34,0,1
151,34,1,1
152,34,2,1
153,34,3,1
154,34,4,1
155,34,5,1
156,35,0,1
157,35,1,1
158,35,2,1
159,35,3,1
160,35,4,1
161,35,5,1
