r,t,cus_id,o_zone,d_zone,TW_o,TW_d,P
1,10,4,40885,40781,"[696, 706]","[720, 730]",24.464997021147823
1,23,6,40634,40101,"[507, 517]","[514, 524]",16.140163441601796
1,100,23,40623,40846,"[688, 693]","[709, 714]",20.083059906152087
1,102,24,40503,40102,"[307, 322]","[328, 343]",19.479688944524526
1,121,27,40632,40214,"[98, 113]","[106, 121]",15.592928187212348
1,155,37,51314,40902,"[608, 618]","[628, 638]",21.063572745936526
1,164,40,31005,51301,"[660, 670]","[679, 689]",18.371741047545036
1,165,41,40625,11247,"[35, 40]","[43, 48]",15.101873132977998
1,234,51,40779,40788,"[663, 668]","[678, 683]",17.681031265803952
1,262,55,40454,40429,"[86, 101]","[99, 114]",17.246000928409085
1,273,57,40380,40494,"[546, 561]","[552, 567]",19.005923857714308
1,306,64,40429,40465,"[559, 569]","[569, 579]",16.91570296002807
1,316,68,40875,40886,"[296, 311]","[300, 315]",16.125942458330766
1,337,71,40786,40781,"[98, 113]","[118, 133]",20.12045417538905
1,409,86,40617,11250,"[33, 38]","[56, 61]",20.10626506702131
1,412,88,11261,11263,"[136, 151]","[141, 156]",15.217964583021038
1,414,89,40466,40579,"[69, 74]","[83, 88]",18.426974439023468
1,512,110,40605,11256,"[576, 586]","[593, 603]",19.480821357994987
1,522,111,51329,51328,"[139, 154]","[160, 175]",23.047893218662693
1,706,149,40751,40353,"[344, 359]","[363, 378]",21.67913237761477
1,735,156,40931,51301,"[489, 494]","[499, 504]",21.08679593835233
1,766,161,40942,51366,"[169, 184]","[175, 190]",17.01980068202718
1,796,168,40869,51348,"[263, 268]","[266, 271]",16.12106622871523
1,877,181,40604,71512,"[633, 643]","[641, 651]",17.008412733998245
2,25,5,40517,40516,"[80, 95]","[100, 115]",21.958392043604363
2,75,14,40373,40333,"[85, 100]","[100, 115]",21.325232076523243
2,81,16,51314,51301,"[41, 46]","[65, 70]",25.359181509792936
2,93,18,40238,40386,"[119, 124]","[136, 141]",23.962417453824347
2,164,27,71408,40802,"[653, 658]","[670, 675]",21.441000984477498
2,173,29,11225,11109,"[693, 698]","[702, 707]",16.62051997520173
2,224,36,51313,40943,"[153, 163]","[174, 184]",18.903972788525248
2,307,58,11279,11252,"[651, 661]","[661, 671]",19.258375380644814
2,366,74,51301,51325,"[9, 19]","[22, 32]",17.453758350627847
2,376,77,40321,40241,"[613, 618]","[632, 637]",17.612124541843674
2,428,87,11109,11230,"[565, 570]","[574, 579]",18.334111906190465
2,472,95,40375,40365,"[67, 77]","[81, 91]",14.496729969594613
2,512,101,51331,51328,"[438, 448]","[462, 472]",21.710269046067655
2,606,122,40186,40485,"[545, 560]","[555, 570]",19.220578586936647
2,702,136,40580,40837,"[227, 232]","[243, 248]",14.643155929921521
3,53,5,11227,11207,"[588, 598]","[594, 604]",18.705418823706403
3,76,9,11206,40936,"[401, 411]","[411, 421]",23.00393634147489
3,87,12,31003,51301,"[552, 557]","[566, 571]",16.875596483779564
3,109,15,40338,40311,"[34, 49]","[40, 55]",16.817210556734114
3,121,18,40877,40863,"[442, 447]","[461, 466]",16.300200957196648
3,210,38,11208,40708,"[170, 185]","[188, 203]",18.5356722406477
3,232,42,51312,51364,"[508, 518]","[522, 532]",17.37120577064463
3,263,51,51335,40539,"[279, 294]","[296, 311]",22.77243878462788
3,337,61,40373,40931,"[553, 568]","[570, 585]",18.901442351889507
3,420,69,40910,40917,"[63, 73]","[68, 78]",17.670384761399834
3,481,78,51354,31006,"[607, 622]","[628, 643]",20.715146316366905
3,565,97,40785,40770,"[688, 703]","[695, 710]",13.811578800330857
3,730,123,51348,51305,"[89, 104]","[111, 126]",18.45040859194109
4,39,4,11211,11208,"[542, 552]","[560, 570]",22.5517702669479
4,70,13,11255,11216,"[625, 635]","[642, 652]",20.89599971283336
4,77,15,40607,40209,"[9, 19]","[19, 29]",14.797220126529819
4,105,22,51315,31005,"[697, 707]","[714, 724]",20.702200786580086
4,134,28,51319,51358,"[632, 642]","[657, 667]",20.272652245866954
4,185,38,40886,71512,"[585, 590]","[604, 609]",20.882413210395924
4,278,55,40505,40603,"[675, 685]","[692, 702]",20.394841576262163
4,298,58,31003,31006,"[573, 583]","[583, 593]",15.372296669576095
4,358,70,40506,40519,"[34, 49]","[42, 57]",16.262861053928603
4,369,75,40820,40865,"[175, 185]","[186, 196]",18.53310906025545
4,489,94,40138,40435,"[428, 443]","[448, 463]",17.172537241272824
4,551,103,40923,40838,"[307, 317]","[319, 329]",22.752721619551394
4,719,135,40223,11211,"[63, 73]","[73, 83]",19.500716467338403
4,722,136,51301,40265,"[151, 161]","[168, 178]",17.73536769688276
4,727,137,31002,11247,"[350, 355]","[355, 360]",14.796239781516686
4,765,145,40547,40925,"[599, 609]","[618, 628]",15.58632285738415
4,775,148,11244,71403,"[16, 21]","[19, 24]",16.48474048718072
4,834,156,40634,51310,"[493, 508]","[507, 522]",17.366796939503615
4,893,170,11253,40506,"[668, 673]","[679, 684]",16.57733758519605
4,906,173,11220,11222,"[562, 567]","[580, 585]",19.267851099481607
4,919,176,51326,31005,"[154, 159]","[160, 165]",14.991534227578306
4,993,189,11251,11250,"[87, 92]","[102, 107]",18.90124862495919
5,52,8,40869,40905,"[170, 180]","[182, 192]",20.611560800740076
5,60,10,40450,40492,"[626, 636]","[637, 647]",17.22066687988306
5,75,15,11278,11109,"[18, 28]","[31, 41]",18.433111850903696
5,175,35,40455,40474,"[557, 562]","[571, 576]",20.751113067556407
5,186,37,40520,40875,"[117, 127]","[139, 149]",21.043558240282113
5,228,43,40609,40223,"[38, 53]","[45, 60]",15.974030255460999
5,240,48,40161,40869,"[167, 182]","[192, 207]",18.267132688124274
5,266,51,11252,11209,"[135, 145]","[155, 165]",19.4316700355812
5,283,56,40629,40603,"[15, 30]","[31, 46]",15.619330715344624
5,403,79,40361,40445,"[417, 422]","[431, 436]",18.53726487757692
5,424,85,11267,11221,"[70, 75]","[90, 95]",21.086915603725494
5,461,95,40137,40205,"[598, 603]","[611, 616]",18.360913736498137
5,565,120,40942,40916,"[102, 107]","[118, 123]",20.69322498195759
5,665,141,31004,31005,"[603, 608]","[619, 624]",18.534506603272014
5,675,144,11248,11215,"[665, 680]","[682, 697]",17.35555458037372
5,742,159,51301,40941,"[536, 551]","[541, 556]",17.715605579532713
5,778,168,31006,51315,"[153, 163]","[161, 171]",15.822022179575406
5,995,213,40206,40531,"[556, 571]","[575, 590]",19.756912673988094
