r,t,cus_id,o_zone,d_zone,TW_o,TW_d,P
1,1,1,51364,40127,"[6, 21]","[37, 52]",25.635573688878836
1,60,11,40486,40363,"[71, 76]","[104, 109]",19.70749349947235
1,63,13,11245,11110,"[90, 95]","[109, 114]",22.297822009212847
1,65,14,40527,40365,"[378, 383]","[397, 402]",22.53058528612428
1,67,15,40437,40429,"[108, 123]","[122, 137]",14.239729344511382
1,108,26,11281,11279,"[174, 179]","[188, 193]",17.566663710038107
1,309,61,11245,11262,"[581, 596]","[590, 605]",19.678665342771204
1,312,62,51317,51330,"[160, 175]","[171, 186]",17.33703709656416
1,397,82,40386,40587,"[618, 628]","[647, 657]",19.0453021716361
1,401,83,51332,51346,"[394, 409]","[423, 438]",23.487185243790464
1,501,102,11259,11222,"[648, 658]","[666, 676]",18.901514390229927
1,598,121,31005,31003,"[327, 342]","[355, 370]",22.40471174505123
1,740,149,11268,11253,"[276, 286]","[291, 301]",22.857469725416784
1,776,162,40718,40377,"[185, 200]","[199, 214]",18.68008190737109
1,850,178,11246,40152,"[690, 695]","[732, 737]",29.625004100758105
1,959,204,51317,40886,"[546, 556]","[551, 561]",17.050724833252094
1,971,205,40497,40707,"[550, 565]","[586, 601]",24.4032165129232
1,998,207,40560,40383,"[674, 689]","[686, 701]",18.04700285876485
2,40,12,40438,40446,"[115, 120]","[146, 151]",25.54287379108387
2,50,15,40476,40881,"[155, 165]","[190, 200]",28.852471801106333
2,79,21,51317,51301,"[254, 259]","[275, 280]",21.719728230999127
2,138,34,40510,40936,"[126, 141]","[164, 179]",28.260660493525123
2,175,40,51313,51333,"[92, 102]","[122, 132]",16.275402646418392
2,277,61,40703,71403,"[666, 676]","[683, 693]",19.0116958357166
2,329,71,40781,40779,"[520, 530]","[528, 538]",17.264392237417635
2,341,73,11225,40937,"[651, 666]","[670, 685]",18.760396273975143
2,395,84,11212,11253,"[719, 734]","[742, 757]",20.90951033237191
2,510,106,11214,11248,"[612, 622]","[622, 632]",21.833700418101202
3,3,2,71402,11215,"[384, 389]","[418, 423]",26.724808366101243
3,17,5,11250,11227,"[118, 123]","[150, 155]",24.272400359596226
3,100,21,31003,40127,"[109, 114]","[127, 132]",22.529787040765
3,141,32,11271,11266,"[254, 269]","[283, 298]",22.06220500550532
3,177,39,40933,40934,"[117, 127]","[139, 149]",19.33863666994211
3,192,44,51301,51309,"[596, 606]","[615, 625]",21.53448876235111
3,193,45,40426,40525,"[211, 226]","[235, 250]",21.61702141960236
3,201,47,40547,40909,"[560, 565]","[587, 592]",21.569480883896638
3,253,64,11245,11220,"[639, 644]","[649, 654]",18.838954290937924
3,308,74,40170,40632,"[603, 618]","[615, 630]",19.371156103633762
3,383,91,40759,40767,"[343, 348]","[368, 373]",15.249050932080198
3,563,117,51301,40916,"[650, 665]","[682, 697]",19.139373351735216
3,775,152,40301,40907,"[667, 672]","[681, 686]",19.233614734108393
3,815,161,40701,40227,"[422, 437]","[453, 468]",25.74097947098616
3,927,185,51348,51313,"[704, 719]","[734, 749]",24.754107213059374
3,962,188,51301,31004,"[361, 366]","[388, 393]",21.77863375434428
4,87,16,11220,11258,"[626, 636]","[665, 675]",29.110624098652067
4,150,25,40761,40364,"[515, 520]","[536, 541]",20.437701500947384
4,177,32,40575,40536,"[110, 115]","[139, 144]",22.57156532480719
4,200,38,31005,40535,"[60, 70]","[73, 83]",17.203259515762944
4,265,49,40627,40230,"[567, 582]","[591, 606]",20.217928176463626
4,275,51,51304,40113,"[34, 49]","[54, 69]",25.990726550197785
4,330,62,11244,11278,"[664, 674]","[674, 684]",22.21217860740841
4,456,86,11245,11278,"[126, 136]","[152, 162]",18.238700606354115
4,560,113,11229,40630,"[34, 49]","[48, 63]",23.379123690126587
4,841,165,11213,11208,"[97, 102]","[104, 109]",15.636080628471984
4,871,175,40919,31005,"[20, 30]","[29, 39]",16.395954194487636
5,85,15,31005,31002,"[647, 652]","[666, 671]",24.26098337655987
5,216,33,40942,51338,"[717, 722]","[753, 758]",21.054975398719407
5,245,40,11245,31004,"[100, 115]","[130, 145]",20.387128536020022
5,256,41,31003,40256,"[12, 27]","[21, 36]",19.248119360112838
5,421,75,40913,51350,"[577, 582]","[584, 589]",20.318001844363295
5,503,90,40461,40374,"[70, 75]","[79, 84]",18.088308350488724
5,561,95,40923,40931,"[657, 667]","[682, 692]",25.58352767509595
5,626,109,51349,51325,"[615, 630]","[646, 661]",22.805418092801986
5,645,114,40906,51358,"[619, 624]","[636, 641]",16.3579933925388
5,751,134,51326,31006,"[540, 545]","[554, 559]",19.166624040426353
5,917,164,40325,40374,"[133, 143]","[155, 165]",20.540649858089417
